Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
589408,Wolfgang Amadeus Mozart,"Requiem, K. 626: VIII. Communio: Lux aeterna (Adapted Süssmayr) - Live",7Hrce3SEZWI2WntmTas2Oe,0,2023,classical,0.241,0.288,10,-17.974,1,0.036,0.975,0.726,0.086,0.117,96.389,324000,4
1234899,Disko Punks,Punk No Rocker - Muzic Loverz Rock It! Club Remix,3NCWsfcGWPCku2QYmteNBl,0,2008,minimal-techno,0.756,0.656,7,-9.571,1,0.122,0.00287,0.352,0.28,0.304,129.982,340400,4
1325753,Robert Glasper,4eva,0vFGIXlsEajsNhGZXzKy3H,14,2009,soul,0.726,0.43,1,-14.665,1,0.226,0.455,0.00201,0.127,0.518,94.974,135933,4
275637,Rilès,Understood,4sTDuXa8uGDHwJdsXUqIBo,45,2017,french,0.839,0.629,3,-5.663,0,0.147,0.241,0.0,0.108,0.724,94.008,207772,4
337394,Ahmoudou Madassane,Zerzura Theme I,5wWACfP4ohUy8UST5slrag,23,2018,guitar,0.538,0.213,0,-12.785,1,0.0405,0.511,0.137,0.444,0.174,69.575,124902,4
564878,EST Gee,Foreva,7bRSUaULMh7oAww7lG2wT5,35,2022,k-pop,0.69,0.596,10,-7.423,1,0.184,0.0422,0.0,0.0919,0.369,143.027,129627,4
820756,The Handsome Family,Sunday Morning Coming Down,5WThlG2Am95HRaalScBj3W,12,2002,goth,0.508,0.228,9,-17.927,1,0.0344,0.572,0.00367,0.104,0.207,76.955,288240,4
355195,Maya Kristalinskaya,На причале - Из к/ф «Цепная реакция»,5qFHlEpYgDQ07fK06t2Njl,0,2018,romance,0.377,0.0892,0,-20.414,0,0.0796,0.988,4.55e-06,0.0722,0.144,90.336,241659,4
250926,Mario Frangoulis,A Hero Is Inside,4tyglyxmINS17YJgfTeSaS,16,2016,opera,0.28,0.337,5,-6.6,1,0.027,0.856,0.0,0.16,0.15,79.731,225120,4
78685,BOY,Silver Streets,5YdfPXKG2T9KEQ5FJIOAKt,10,2013,german,0.532,0.506,0,-7.805,1,0.0342,0.0384,0.0618,0.116,0.371,137.953,329187,4
219408,Jay Fung,把眼淚握在手裡,3gfPMEcYAKTtQAmJSZHQKq,18,2016,cantopop,0.495,0.52,6,-8.55,0,0.033,0.525,0.0,0.0738,0.304,78.065,257418,4
